[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00

--- UPDATE AMBIENTE/GPS ---
POS: 41.550700, -8.412621 | ALT: 187.6m
BME: 27.5C | 1000.5hPa | 57.1%

[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00

--- UPDATE AMBIENTE/GPS ---
POS: 41.550701, -8.412618 | ALT: 186.3m
BME: 27.4C | 1000.5hPa | 57.3%

[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00
[IMU] Acc:0.00 0.00 0.00 | Gyr:0.00 0.00

--- UPDATE AMBIENTE/GPS ---
POS: 41.550702, -8.412616 | ALT: 186.7m
BME: 27.4C | 1000.5hPa | 57.5%

